YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,"GENERATION
(Megawatthours)"
2020,1,AK,Total Electric Power Industry,Total,616446
2020,1,AK,Total Electric Power Industry,Coal,45764
2020,1,AK,Total Electric Power Industry,Hydroelectric Conventional,150525
2020,1,AK,Total Electric Power Industry,Natural Gas,282276
2020,1,AK,Total Electric Power Industry,Other,-298
2020,1,AK,Total Electric Power Industry,Petroleum,123712
2020,1,AK,Total Electric Power Industry,Other Biomass,3235
2020,1,AK,Total Electric Power Industry,Wind,11230
2020,1,AK,Total Electric Power Industry,Wood and Wood Derived Fuels,0
2020,1,AK,"Combined Heat and Power, Industrial Power",Total,10990
2020,1,AK,"Combined Heat and Power, Industrial Power",Natural Gas,4290
2020,1,AK,"Combined Heat and Power, Industrial Power",Petroleum,6690
2020,1,AK,"Combined Heat and Power, Industrial Power",Other Biomass,10
2020,1,AK,"Combined Heat and Power, Commercial Power",Total,25999
2020,1,AK,"Combined Heat and Power, Commercial Power",Coal,7065
2020,1,AK,"Combined Heat and Power, Commercial Power",Hydroelectric Conventional,13863
2020,1,AK,"Combined Heat and Power, Commercial Power",Natural Gas,2
2020,1,AK,"Combined Heat and Power, Commercial Power",Petroleum,1845
2020,1,AK,"Combined Heat and Power, Commercial Power",Other Biomass,3225
2020,1,AK,"Combined Heat and Power, Commercial Power",Wood and Wood Derived Fuels,0
2020,1,AK,"Combined Heat and Power, Electric Power",Total,16038
2020,1,AK,"Combined Heat and Power, Electric Power",Coal,16038
2020,1,AK,"Combined Heat and Power, Electric Power",Petroleum,0
2020,1,AK,"Combined Heat and Power, Electric Power",Other Biomass,0
2020,1,AK,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,0
2020,1,AK,"Electric Generators, Independent Power Producers",Total,4738
2020,1,AK,"Electric Generators, Independent Power Producers",Petroleum,247
2020,1,AK,"Electric Generators, Independent Power Producers",Wind,4490
2020,1,AK,"Electric Generators, Electric Utilities",Total,558680
2020,1,AK,"Electric Generators, Electric Utilities",Coal,22661
2020,1,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,136662
2020,1,AK,"Electric Generators, Electric Utilities",Natural Gas,277984
2020,1,AK,"Electric Generators, Electric Utilities",Other,-298
2020,1,AK,"Electric Generators, Electric Utilities",Petroleum,114931
2020,1,AK,"Electric Generators, Electric Utilities",Wind,6739
2020,1,AL,Total Electric Power Industry,Total,11566431
2020,1,AL,Total Electric Power Industry,Coal,1954499
2020,1,AL,Total Electric Power Industry,Hydroelectric Conventional,1276111
2020,1,AL,Total Electric Power Industry,Natural Gas,4033951
2020,1,AL,Total Electric Power Industry,Nuclear,3994825
2020,1,AL,Total Electric Power Industry,Other Gases,42
2020,1,AL,Total Electric Power Industry,Other,-3
2020,1,AL,Total Electric Power Industry,Petroleum,360
2020,1,AL,Total Electric Power Industry,Solar Thermal and Photovoltaic,18058
2020,1,AL,Total Electric Power Industry,Other Biomass,3277
2020,1,AL,Total Electric Power Industry,Wood and Wood Derived Fuels,285312
2020,1,AL,"Combined Heat and Power, Industrial Power",Total,428982
2020,1,AL,"Combined Heat and Power, Industrial Power",Coal,0
2020,1,AL,"Combined Heat and Power, Industrial Power",Natural Gas,143357
2020,1,AL,"Combined Heat and Power, Industrial Power",Other Gases,42
2020,1,AL,"Combined Heat and Power, Industrial Power",Other,0
2020,1,AL,"Combined Heat and Power, Industrial Power",Petroleum,271
2020,1,AL,"Combined Heat and Power, Industrial Power",Other Biomass,0
2020,1,AL,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,285312
2020,1,AL,"Combined Heat and Power, Electric Power",Total,186647
2020,1,AL,"Combined Heat and Power, Electric Power",Natural Gas,186647
2020,1,AL,"Electric Generators, Independent Power Producers",Total,1990106
2020,1,AL,"Electric Generators, Independent Power Producers",Natural Gas,1970039
2020,1,AL,"Electric Generators, Independent Power Producers",Other,-3
2020,1,AL,"Electric Generators, Independent Power Producers",Petroleum,92
2020,1,AL,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,16702
2020,1,AL,"Electric Generators, Independent Power Producers",Other Biomass,3277
2020,1,AL,"Electric Generators, Electric Utilities",Total,8960696
2020,1,AL,"Electric Generators, Electric Utilities",Coal,1954499
2020,1,AL,"Electric Generators, Electric Utilities",Hydroelectric Conventional,1276111
2020,1,AL,"Electric Generators, Electric Utilities",Natural Gas,1733907
2020,1,AL,"Electric Generators, Electric Utilities",Nuclear,3994825
2020,1,AL,"Electric Generators, Electric Utilities",Petroleum,-3
2020,1,AL,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,1356
2020,1,AR,Total Electric Power Industry,Total,4446681
2020,1,AR,Total Electric Power Industry,Coal,854701
2020,1,AR,Total Electric Power Industry,Pumped Storage,1123
2020,1,AR,Total Electric Power Industry,Hydroelectric Conventional,231354
2020,1,AR,Total Electric Power Industry,Natural Gas,1873596
2020,1,AR,Total Electric Power Industry,Nuclear,1385498
2020,1,AR,Total Electric Power Industry,Other,513
2020,1,AR,Total Electric Power Industry,Petroleum,1794
2020,1,AR,Total Electric Power Industry,Solar Thermal and Photovoltaic,10565
2020,1,AR,Total Electric Power Industry,Other Biomass,7676
2020,1,AR,Total Electric Power Industry,Wood and Wood Derived Fuels,79861
2020,1,AR,"Combined Heat and Power, Industrial Power",Total,109294
2020,1,AR,"Combined Heat and Power, Industrial Power",Coal,4269
2020,1,AR,"Combined Heat and Power, Industrial Power",Natural Gas,24624
2020,1,AR,"Combined Heat and Power, Industrial Power",Other,531
2020,1,AR,"Combined Heat and Power, Industrial Power",Petroleum,10
2020,1,AR,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,79861
2020,1,AR,"Combined Heat and Power, Commercial Power",Total,5712
2020,1,AR,"Combined Heat and Power, Commercial Power",Natural Gas,4459
2020,1,AR,"Combined Heat and Power, Commercial Power",Other,-18
2020,1,AR,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,898
2020,1,AR,"Combined Heat and Power, Commercial Power",Other Biomass,374
2020,1,AR,"Combined Heat and Power, Electric Power",Total,115717
2020,1,AR,"Combined Heat and Power, Electric Power",Natural Gas,113932
2020,1,AR,"Combined Heat and Power, Electric Power",Petroleum,0
2020,1,AR,"Combined Heat and Power, Electric Power",Other Biomass,1785
2020,1,AR,"Electric Generators, Independent Power Producers",Total,339050
2020,1,AR,"Electric Generators, Independent Power Producers",Coal,319818
2020,1,AR,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,4122
2020,1,AR,"Electric Generators, Independent Power Producers",Petroleum,0
2020,1,AR,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,9592
2020,1,AR,"Electric Generators, Independent Power Producers",Other Biomass,5518
2020,1,AR,"Electric Generators, Electric Utilities",Total,3876907
2020,1,AR,"Electric Generators, Electric Utilities",Coal,530613
2020,1,AR,"Electric Generators, Electric Utilities",Pumped Storage,1123
2020,1,AR,"Electric Generators, Electric Utilities",Hydroelectric Conventional,227232
2020,1,AR,"Electric Generators, Electric Utilities",Natural Gas,1730582
2020,1,AR,"Electric Generators, Electric Utilities",Nuclear,1385498
2020,1,AR,"Electric Generators, Electric Utilities",Petroleum,1784
2020,1,AR,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,74
2020,1,AZ,Total Electric Power Industry,Total,8550692
2020,1,AZ,Total Electric Power Industry,Coal,1133561
2020,1,AZ,Total Electric Power Industry,Pumped Storage,-5149
2020,1,AZ,Total Electric Power Industry,Hydroelectric Conventional,496816
2020,1,AZ,Total Electric Power Industry,Natural Gas,3543322
2020,1,AZ,Total Electric Power Industry,Nuclear,2975994
2020,1,AZ,Total Electric Power Industry,Other,-444
2020,1,AZ,Total Electric Power Industry,Petroleum,2523
2020,1,AZ,Total Electric Power Industry,Solar Thermal and Photovoltaic,340830
2020,1,AZ,Total Electric Power Industry,Other Biomass,1900
2020,1,AZ,Total Electric Power Industry,Wind,42839
2020,1,AZ,Total Electric Power Industry,Wood and Wood Derived Fuels,18499
2020,1,AZ,"Combined Heat and Power, Commercial Power",Total,10819
2020,1,AZ,"Combined Heat and Power, Commercial Power",Natural Gas,10127
2020,1,AZ,"Combined Heat and Power, Commercial Power",Petroleum,1
2020,1,AZ,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,691
2020,1,AZ,"Combined Heat and Power, Electric Power",Total,1357
2020,1,AZ,"Combined Heat and Power, Electric Power",Natural Gas,1357
