SaleId,CustomerId,Flower,Quantity,TotalSale,SaleDate,StoreId
1,92,Daisy,14,71,2023-07-24,3
2,752,Violet,16,33,2023-09-29,13
3,468,Daisy,1,45,2023-04-09,8
4,552,Peony,19,85,2024-01-06,22
5,639,Daisy,2,15,2023-06-29,15
6,191,Violet,1,98,2024-02-19,13
7,961,Lily,1,95,2023-08-25,13
8,906,Chrysanthemum,7,48,2023-11-09,15
9,647,Chrysanthemum,5,57,2024-01-25,3
10,739,Carnation,14,35,2023-12-07,13
11,892,Peony,20,44,2023-10-05,7
12,296,Peony,6,62,2023-04-12,15
13,350,Rose,9,79,2023-06-10,7
14,933,Sunflower,14,98,2023-06-15,9
15,575,Tulip,11,9,2023-10-22,1
16,349,Carnation,16,52,2023-07-29,18
17,723,Lily,8,58,2023-05-08,25
18,625,Lily,14,4,2023-07-17,11
19,686,Sunflower,6,60,2024-03-04,11
20,50,Daisy,14,56,2023-09-15,11
21,799,Orchid,20,29,2024-02-28,6
22,424,Sunflower,16,10,2023-05-16,11
23,946,Sunflower,4,95,2023-10-23,21
24,557,Lily,7,0,2023-04-18,10
25,283,Daisy,5,59,2023-08-19,18
26,79,Chrysanthemum,2,95,2023-04-23,9
27,767,Orchid,3,62,2024-02-06,21
28,561,Lily,13,24,2023-08-28,17
29,102,Chrysanthemum,6,86,2023-12-04,14
30,591,Violet,1,98,2024-01-30,23
31,843,Violet,11,92,2024-03-07,24
32,769,Daisy,10,80,2023-10-29,13
33,400,Rose,6,15,2023-03-21,15
34,955,Peony,5,40,2023-11-21,7
35,705,Peony,6,6,2023-12-30,17
36,915,Carnation,17,21,2023-10-29,12
37,984,Rose,15,97,2024-02-03,22
38,427,Daisy,2,61,2023-03-20,6
39,540,Violet,1,7,2024-01-18,1
40,136,Orchid,9,81,2023-12-05,22
41,406,Lily,5,51,2023-09-03,23
42,257,Violet,2,68,2023-05-07,25
43,396,Orchid,16,57,2023-04-06,13
44,708,Orchid,10,32,2023-10-04,16
45,560,Rose,15,61,2023-07-23,17
46,73,Daisy,15,36,2023-12-10,14
47,633,Violet,16,43,2023-03-09,16
48,555,Violet,2,49,2023-07-31,8
49,165,Peony,13,41,2023-05-29,4
50,485,Daisy,7,23,2023-10-24,24
51,666,Sunflower,16,45,2023-08-16,11
52,277,Violet,3,94,2023-09-26,6
53,11,Sunflower,9,87,2023-03-15,22
54,746,Peony,18,19,2023-10-03,12
55,367,Rose,13,87,2023-04-03,2
56,895,Peony,6,22,2023-04-25,22
57,109,Lily,20,95,2023-06-24,2
58,381,Daisy,10,36,2023-06-07,2
59,710,Peony,17,28,2023-10-06,12
60,926,Orchid,14,14,2024-03-05,5
61,103,Daisy,18,87,2024-02-25,14
62,677,Peony,20,66,2024-01-05,24
63,899,Tulip,10,37,2023-03-10,6
64,339,Orchid,14,21,2023-04-08,15
65,395,Peony,14,47,2023-07-15,22
66,853,Chrysanthemum,17,27,2023-03-16,5
67,670,Lily,3,64,2023-09-01,13
68,444,Daisy,17,32,2023-09-10,12
69,734,Peony,6,60,2023-07-10,22
70,227,Peony,9,75,2023-06-26,13
71,198,Carnation,10,60,2023-03-09,6
72,506,Lily,15,11,2023-05-21,19
73,922,Orchid,16,80,2023-08-19,24
74,56,Violet,14,68,2024-02-07,13
75,77,Sunflower,18,46,2023-03-17,9
76,783,Chrysanthemum,20,91,2024-02-13,1
77,149,Orchid,7,14,2023-07-05,17
78,767,Rose,7,11,2023-10-24,5
79,822,Peony,3,1,2023-12-04,1
80,819,Carnation,13,29,2023-11-05,1
81,958,Chrysanthemum,5,61,2023-04-16,9
82,300,Rose,16,61,2023-08-11,3
83,655,Rose,20,80,2023-03-26,25
84,343,Rose,15,71,2023-08-18,1
85,729,Chrysanthemum,16,82,2023-12-22,15
86,504,Sunflower,4,31,2024-01-26,16
87,15,Orchid,5,22,2023-12-19,25
88,61,Rose,7,77,2023-09-22,24
89,115,Orchid,12,70,2023-03-25,10
90,853,Tulip,3,20,2023-03-15,16
91,759,Orchid,10,3,2023-06-26,23
92,237,Sunflower,7,39,2024-03-07,25
93,304,Carnation,19,73,2023-12-31,6
94,208,Violet,3,84,2023-12-14,18
95,15,Daisy,4,46,2024-01-23,11
96,416,Rose,16,85,2023-07-01,6
97,797,Rose,17,68,2023-03-18,22
98,292,Lily,18,65,2023-07-07,12
99,716,Tulip,3,24,2023-06-25,17
100,15,Orchid,7,16,2023-10-11,5
101,805,Rose,2,30,2024-02-10,4
102,964,Carnation,17,23,2023-05-06,13
103,367,Lily,14,6,2023-06-06,8
104,549,Violet,4,75,2023-09-09,16
105,739,Violet,18,51,2023-06-03,2
106,453,Sunflower,13,75,2023-11-08,4
107,794,Peony,18,35,2024-01-31,17
108,308,Lily,20,47,2024-03-03,12
109,804,Carnation,7,64,2023-11-02,1
110,160,Tulip,3,65,2023-04-10,6
111,740,Carnation,16,68,2023-03-29,15
112,765,Sunflower,3,2,2024-01-17,7
113,919,Violet,14,59,2023-09-27,5
114,784,Peony,15,23,2023-04-17,24
115,455,Carnation,14,60,2023-10-28,9
116,900,Tulip,18,74,2024-03-01,11
117,564,Lily,11,23,2023-04-21,25
118,813,Sunflower,17,80,2024-02-23,7
119,606,Daisy,5,26,2024-01-06,19
120,553,Orchid,18,16,2024-01-21,17
121,802,Violet,20,51,2023-10-04,2
122,289,Tulip,16,14,2023-06-25,25
123,34,Carnation,6,72,2023-08-12,8
124,674,Daisy,8,30,2023-07-21,2
125,513,Daisy,10,29,2023-08-13,12
126,795,Daisy,9,41,2023-07-24,2
127,340,Carnation,6,42,2023-12-27,20
128,303,Tulip,15,28,2024-02-22,1
129,396,Daisy,13,62,2023-05-03,23
130,12,Rose,5,93,2023-07-06,7
131,134,Rose,4,77,2023-05-12,8
132,20,Sunflower,9,85,2023-12-23,8
133,825,Orchid,11,88,2024-02-01,25
134,176,Sunflower,14,38,2024-02-19,6
135,511,Rose,14,10,2024-01-30,9
136,24,Tulip,9,21,2023-10-23,8
137,80,Lily,19,82,2023-06-02,22
138,533,Daisy,4,4,2023-03-26,23
139,673,Carnation,20,6,2023-05-12,15
140,666,Daisy,8,92,2023-03-20,2
141,896,Orchid,10,11,2023-05-19,25
142,926,Sunflower,8,77,2023-08-05,11
143,57,Tulip,7,52,2023-08-13,6
144,679,Chrysanthemum,4,43,2023-08-07,17
145,512,Chrysanthemum,13,3,2023-11-01,15
146,96,Lily,14,1,2023-03-19,12
147,70,Orchid,3,14,2023-12-14,18
148,765,Sunflower,20,47,2023-10-23,4
149,250,Orchid,18,80,2024-02-06,14
150,241,Rose,15,57,2023-07-16,25
151,880,Tulip,4,57,2023-07-17,14
152,131,Violet,8,94,2023-06-10,2
153,378,Rose,1,94,2023-12-09,21
154,550,Daisy,11,9,2023-09-13,18
155,694,Sunflower,10,35,2023-04-09,12
156,868,Chrysanthemum,3,81,2024-03-06,12
157,169,Orchid,13,75,2023-03-11,21
158,20,Carnation,13,18,2024-01-28,3
159,9,Tulip,14,43,2023-11-14,4
160,512,Rose,15,23,2024-02-16,23
161,656,Chrysanthemum,2,72,2023-04-04,7
162,566,Peony,13,48,2024-01-06,22
163,295,Orchid,2,72,2023-09-01,10
164,728,Carnation,5,94,2023-08-01,9
165,843,Peony,6,73,2023-06-19,4
166,769,Peony,3,84,2024-02-19,17
167,747,Tulip,17,81,2023-05-13,20
168,544,Carnation,11,63,2023-05-04,3
169,629,Tulip,5,77,2023-03-12,21
170,129,Orchid,18,60,2023-11-01,17
171,989,Sunflower,1,87,2024-01-10,14
172,821,Chrysanthemum,7,25,2023-04-18,9
173,782,Carnation,20,43,2023-07-05,11
174,450,Peony,15,8,2023-08-07,12
175,179,Carnation,20,92,2023-04-17,19
176,514,Daisy,7,1,2023-08-03,24
177,993,Peony,10,64,2023-08-01,8
178,208,Orchid,12,2,2023-12-08,2
179,642,Carnation,15,71,2023-12-11,11
180,820,Rose,3,29,2023-07-20,19
181,935,Daisy,1,58,2023-09-21,11
182,917,Chrysanthemum,10,26,2023-06-01,20
183,445,Peony,13,55,2023-05-05,8
184,889,Daisy,8,95,2023-04-20,3
185,347,Rose,4,61,2023-04-06,20
186,350,Daisy,19,71,2023-11-20,15
187,807,Peony,14,92,2023-07-01,14
188,551,Tulip,17,78,2023-05-02,5
189,144,Rose,14,1,2024-01-26,10
190,323,Lily,8,12,2023-09-23,15
191,176,Peony,1,22,2023-04-03,16
192,779,Lily,12,54,2023-10-31,18
193,178,Chrysanthemum,2,89,2023-06-05,16
194,862,Orchid,1,57,2024-01-25,20
195,917,Tulip,16,28,2023-05-25,3
196,673,Lily,11,51,2024-01-26,23
197,473,Violet,5,70,2023-12-02,24
198,859,Daisy,12,10,2024-03-05,19
199,687,Violet,20,46,2023-05-07,4
200,723,Tulip,20,50,2023-03-19,11
201,606,Tulip,5,8,2023-06-24,10
202,781,Peony,19,44,2023-04-01,11
203,848,Daisy,20,45,2023-05-07,10
204,589,Carnation,6,89,2023-04-18,22
205,338,Lily,2,83,2023-08-02,5
206,310,Sunflower,17,63,2023-08-04,16
207,595,Orchid,9,72,2023-05-24,21
208,655,Tulip,1,2,2023-08-31,3
209,217,Peony,3,83,2023-11-22,16
210,31,Daisy,3,37,2023-10-28,13
211,838,Orchid,3,55,2023-03-19,5
212,863,Carnation,19,7,2024-01-13,15
213,321,Rose,11,47,2024-03-07,8
214,929,Lily,3,32,2023-11-13,18
215,684,Sunflower,8,55,2023-08-01,20
216,58,Rose,14,6,2023-09-06,1
217,548,Lily,11,53,2023-07-27,16
218,103,Tulip,7,1,2024-02-02,5
219,176,Chrysanthemum,4,20,2024-02-08,16
220,737,Lily,1,82,2023-04-22,13
221,644,Chrysanthemum,1,38,2024-03-03,11
222,695,Lily,14,61,2023-09-05,7
223,27,Orchid,10,24,2023-06-25,9
224,117,Rose,6,90,2023-05-18,3
225,175,Violet,4,40,2023-06-07,18
