Player,Team,Age,GamesPlayed,Wins,Losses,Min,Points,FGM,FGA,FG_Percent,3PM,3PA,3P_Percent,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,PlusMinus
Shai Gilgeous-Alexander,OKC,26,70,59,11,2401.8,2301,795,1522,52.2,148,400,37.0,563,625,90.1,60,293,353,440,175,123,71,153,3792,5,0,861
Anthony Edwards,MIN,23,71,41,30,2566.6,1932,636,1444,44.0,283,716,39.5,377,449,84.0,56,349,405,325,227,81,42,127,3048,6,0,218
Nikola Jokic,DEN,30,64,43,21,2332.5,1872,714,1244,57.4,121,294,41.2,323,402,80.3,186,634,820,653,209,113,43,145,4095,54,30,541
Giannis Antetokounmpo,MIL,30,60,34,26,2039.2,1814,714,1189,60.1,9,50,18.0,377,624,60.4,138,579,717,357,191,50,72,149,3385,49,7,235
Jayson Tatum,BOS,27,66,48,18,2403.5,1791,612,1345,45.5,236,670,35.2,331,409,80.9,44,529,573,393,198,73,34,145,3191,29,2,490
Devin Booker,PHX,28,68,34,34,2544.7,1720,573,1264,45.3,174,512,34.0,400,447,89.5,66,212,278,483,193,65,14,181,2822,14,0,-100
Cade Cunningham,DET,23,66,37,29,2320.9,1698,631,1367,46.2,141,398,35.4,295,344,85.8,53,352,405,609,295,68,49,183,3154,30,9,178
Tyler Herro,MIA,25,70,32,38,2493.9,1651,584,1251,46.7,234,628,37.3,249,287,86.8,28,335,363,389,180,61,16,80,2721,9,0,4
Trae Young,ATL,26,68,32,36,2453.6,1641,507,1232,41.2,192,571,33.6,435,497,87.5,32,182,214,777,328,79,11,131,3005,44,0,27
Kevin Durant,PHX,36,61,33,28,2241.9,1636,587,1113,52.7,159,369,43.1,303,361,83.9,22,345,367,262,189,49,77,103,2658,5,0,-10
Karl-Anthony Towns,NYK,29,66,43,23,2310.2,1616,585,1118,52.3,137,323,42.4,309,374,82.6,196,652,848,208,172,67,46,229,3113,52,1,347
Jalen Brunson,NYK,28,61,39,22,2162.3,1606,558,1138,49.0,140,365,38.4,350,424,82.5,25,156,181,452,153,58,6,132,2540,13,0,156
Donovan Mitchell,CLE,28,67,52,15,2098.7,1605,551,1249,44.1,221,600,36.8,282,341,82.7,53,242,295,329,138,87,13,132,2615,5,0,486
Jalen Green,HOU,23,74,48,26,2488.3,1590,563,1325,42.5,217,621,34.9,247,303,81.5,43,306,349,255,186,63,24,118,2466,4,0,157
James Harden,LAC,35,70,42,28,2452.5,1577,456,1141,40.0,212,605,35.0,453,518,87.5,47,357,404,603,306,101,47,145,3104,32,2,277
LeBron James,LAL,40,62,38,24,2168.7,1521,583,1139,51.2,133,357,37.3,222,289,76.8,66,440,506,525,238,58,35,88,2957,32,10,-75
Zach LaVine,SAC,30,65,28,37,2270.5,1502,545,1065,51.2,201,464,43.3,211,258,81.8,20,267,287,277,186,55,12,96,2277,4,0,-16
DeMar DeRozan,SAC,35,68,34,34,2445.3,1496,547,1138,48.1,74,217,34.1,328,378,86.8,42,223,265,296,96,61,26,130,2423,3,0,77
Pascal Siakam,IND,30,72,42,30,2364.7,1485,575,1096,52.5,119,304,39.1,216,290,74.5,121,378,499,245,103,63,36,181,2645,10,0,307
Jaren Jackson Jr.,MEM,25,66,39,27,1942.1,1480,536,1085,49.4,127,339,37.5,281,362,77.6,81,288,369,138,140,84,106,226,2560,4,0,315
Stephen Curry,GSW,37,61,35,26,1963.1,1472,483,1087,44.4,268,683,39.2,238,257,92.6,32,233,265,368,178,67,26,84,2443,8,0,221
De'Aaron Fox,SAS,27,62,27,35,2241.1,1459,539,1163,46.3,118,381,31.0,263,318,82.7,54,244,298,392,174,91,25,164,2579,9,0,-69
Damian Lillard,MIL,34,58,32,26,2092.9,1447,444,992,44.8,197,524,37.6,362,393,92.1,29,243,272,410,162,70,10,97,2466,14,2,53
Darius Garland,CLE,25,69,55,14,2109.3,1426,511,1082,47.2,197,489,40.3,207,234,88.5,41,156,197,461,177,85,11,136,2465,6,0,485
Jamal Murray,DEN,28,65,39,26,2361.9,1405,520,1093,47.6,154,389,39.6,211,238,88.7,43,206,249,393,133,91,33,125,2532,5,0,301
Tyrese Maxey,PHI,24,52,20,32,1960.2,1369,477,1091,43.7,161,478,33.7,254,289,87.9,15,159,174,317,124,91,21,116,2265,8,1,-124
Coby White,CHI,25,66,29,37,2204.8,1345,455,1021,44.6,201,548,36.7,234,261,89.7,23,211,234,297,152,63,13,141,2147,1,0,-161
Alperen Sengun,HOU,22,70,48,22,2214.8,1342,525,1057,49.7,21,89,23.6,271,391,69.3,245,490,735,342,182,79,57,197,2963,43,4,346
Anfernee Simons,POR,25,69,28,41,2257.3,1333,474,1105,42.9,214,585,36.6,171,189,90.5,24,162,186,333,141,58,5,116,2104,2,0,-204
Jalen Williams,OKC,23,62,50,12,2016.8,1318,499,1043,47.8,112,308,36.4,208,262,79.4,52,286,338,327,138,101,44,147,2511,3,0,422
Michael Porter Jr.,DEN,26,72,44,28,2419.7,1313,496,985,50.4,182,457,39.8,139,182,76.4,129,372,501,157,95,49,34,144,2304,15,0,265
Franz Wagner,ORL,23,54,28,26,1824.1,1311,485,1054,46.0,91,311,29.3,250,289,86.5,52,259,311,255,132,68,20,136,2199,3,0,187
Jaylen Brown,BOS,28,58,42,16,2027.7,1308,485,1056,45.9,108,338,32.0,230,302,76.2,80,265,345,269,152,73,19,146,2250,5,0,370
Mikal Bridges,NYK,28,73,46,27,2745.0,1304,535,1074,49.8,152,431,35.3,82,103,79.6,64,172,236,264,117,71,39,104,2196,1,0,307
Austin Reaves,LAL,26,65,40,25,2254.4,1293,420,925,45.4,168,469,35.8,285,324,88.0,52,235,287,382,158,72,20,132,2328,9,1,142
Jordan Poole,WAS,25,63,14,49,1881.6,1287,424,989,42.9,219,578,37.9,220,250,88.0,28,165,193,285,198,84,27,187,2081,1,0,-525
Bam Adebayo,MIA,27,71,32,39,2450.7,1247,479,987,48.5,62,191,32.5,227,297,76.4,172,516,688,304,154,91,49,152,2795,35,1,-53
